Open,High,Low,Close,Volume,Adj Close
24.0,24.0,24.0,24.0,0,21.276
23.7,23.7,23.7,23.7,0,21.01
23.4,23.4,23.4,23.4,0,20.744
23.4,23.4,23.4,23.4,0,20.744
23.4,23.4,23.4,23.4,0,20.744
23.4,23.4,23.4,23.4,0,20.744
23.4,23.4,23.4,23.4,0,20.744
23.4,23.4,23.4,23.4,0,20.744
23.0,23.0,23.0,23.0,0,20.389
23.0,23.0,23.0,23.0,0,20.389
23.5,23.5,23.5,23.5,0,20.833000000000002
23.5,23.5,23.5,23.5,0,20.833000000000002
23.5,23.5,23.5,23.5,0,20.833000000000002
23.3,23.3,23.3,23.3,0,20.655
23.3,23.3,23.3,23.3,0,20.655
23.3,23.3,23.3,23.3,0,20.655
23.3,23.3,23.3,23.3,0,20.655
23.0,23.0,23.0,23.0,0,20.389
23.5,23.5,23.5,23.5,0,20.833000000000002
23.0,23.0,23.0,23.0,0,20.389
23.0,23.0,23.0,23.0,0,20.389
23.0,23.0,23.0,23.0,0,20.389
23.0,23.0,23.0,23.0,0,20.389
23.0,23.0,23.0,23.0,0,20.389
23.1,23.1,23.1,23.1,0,20.477999999999998
23.1,23.1,23.1,23.1,0,20.477999999999998
23.25,23.25,23.25,23.25,0,20.611
23.3,23.3,23.3,23.3,0,20.655
23.3,23.3,23.3,23.3,0,20.655
23.1,23.1,23.1,23.1,0,20.477999999999998
23.15,23.15,23.15,23.15,0,20.522
23.1,23.1,23.1,23.1,0,20.477999999999998
23.1,23.1,23.1,23.1,0,20.477999999999998
23.5,23.5,23.5,23.5,0,20.833000000000002
23.1,23.1,23.1,23.1,0,20.477999999999998
23.0,23.0,23.0,23.0,0,20.389
22.5,22.5,22.5,22.5,0,19.945999999999998
22.3,22.3,22.3,22.3,0,19.769000000000002
22.5,22.5,22.5,22.5,0,19.945999999999998
22.3,22.3,22.3,22.3,0,19.769000000000002
22.6,22.6,22.6,22.6,0,20.035
22.25,22.25,22.25,22.25,0,19.725
22.5,22.5,22.5,22.5,0,19.945999999999998
22.2,22.2,22.2,22.2,0,19.68
22.2,22.2,22.2,22.2,0,19.68
22.1,22.5,22.1,22.5,0,19.945999999999998
22.0,22.0,22.0,22.0,0,19.503
22.0,22.0,22.0,22.0,0,19.503
22.1,22.1,22.1,22.1,0,19.592
22.5,22.5,22.5,22.5,0,19.945999999999998
21.6,21.6,21.6,21.6,0,19.148
21.5,21.98,21.98,21.98,0,19.485
21.0,21.0,21.0,21.0,0,18.616
21.0,21.0,21.0,21.0,0,18.616
20.5,20.5,20.5,20.5,0,18.173
20.5,20.5,20.5,20.5,0,18.173
21.0,21.0,21.0,21.0,0,18.616
20.75,20.75,20.75,20.75,0,18.395
20.8,20.8,20.8,20.8,0,18.439
21.0,21.0,21.0,21.0,0,18.616
21.0,21.0,21.0,21.0,0,18.616
21.2,21.2,21.2,21.2,0,18.794
21.4,21.45,21.45,21.45,100,19.015
21.3,21.3,21.3,21.3,0,18.882
21.0,21.0,21.0,21.0,0,18.616
21.0,21.0,21.0,21.0,0,18.616
20.8,20.8,20.8,20.8,0,18.439
20.8,20.8,20.8,20.8,0,18.439
20.8,20.8,20.8,20.8,0,18.439
20.6,20.6,20.6,20.6,0,18.262
20.6,20.6,20.6,20.6,0,18.262
20.5,20.5,20.5,20.5,0,18.173
20.5,20.5,20.5,20.5,0,18.173
20.5,20.5,20.5,20.5,0,18.173
20.3,20.3,20.3,20.3,0,17.996
20.4,20.4,20.4,20.4,0,18.084
19.9,19.9,19.9,19.9,0,17.641
19.9,19.9,19.9,19.9,0,17.641
18.8,18.8,18.8,18.8,0,16.666
18.4,18.4,18.4,18.4,0,16.311
18.4,18.4,18.4,18.4,0,16.311
19.0,19.0,19.0,19.0,0,16.843
19.0,19.5,19.0,19.5,0,17.287
19.5,19.5,19.5,19.5,0,17.287
19.7,19.7,19.7,19.7,0,17.464000000000002
19.7,19.7,19.7,19.7,0,17.464000000000002
19.8,19.8,19.8,19.8,0,17.553
19.8,19.8,19.8,19.8,0,17.553
20.0,20.0,20.0,20.0,0,17.73
19.7,19.7,19.7,19.7,0,17.464000000000002
19.5,19.5,19.5,19.5,0,17.287
19.6,19.6,19.6,19.6,0,17.375
19.6,19.6,19.6,19.6,0,17.375
19.7,19.7,19.7,19.7,0,17.464000000000002
19.6,19.6,19.5,19.5,200,17.287
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
18.4,18.4,18.4,18.4,0,16.311
18.5,18.5,18.5,18.5,0,16.4
18.6,18.6,18.6,18.6,0,16.489
18.3,18.3,18.3,18.3,0,16.223
18.4,18.4,18.4,18.4,0,16.311
18.1,18.1,18.1,18.1,0,16.046
18.0,18.0,18.0,18.0,0,15.957
18.55,18.55,18.55,18.55,0,16.444000000000003
18.25,18.25,18.25,18.25,0,16.179000000000002
18.25,18.25,18.25,18.25,0,16.179000000000002
18.25,18.25,18.25,18.25,0,16.179000000000002
18.6,18.6,18.6,18.6,0,16.489
19.0,19.0,19.0,19.0,0,16.843
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
18.2,18.2,18.2,18.2,0,16.134
18.2,18.2,18.2,18.2,0,16.134
18.02,18.02,18.02,18.02,200,15.975
17.7,17.7,17.7,17.7,0,15.690999999999999
17.2,17.2,17.2,17.2,0,15.248
17.5,17.5,17.5,17.5,0,15.514000000000001
17.9,17.9,17.9,17.9,0,15.868
18.0,18.0,18.0,18.0,0,15.957
18.0,18.0,18.0,18.0,0,15.957
18.0,18.0,18.0,18.0,0,15.957
18.2,18.2,18.2,18.2,0,16.134
18.2,18.2,18.2,18.2,0,16.134
18.2,18.2,18.2,18.2,0,16.134
17.3,17.3,17.3,17.3,0,15.335999999999999
17.2,17.2,17.2,17.2,0,15.248
17.25,17.25,17.25,17.25,0,15.292
16.7,16.7,16.7,16.7,0,14.804
16.5,16.5,16.5,16.5,0,14.627
16.9,16.9,16.9,16.9,0,14.982000000000001
17.2,17.2,17.2,17.2,0,15.248
18.0,18.0,18.0,18.0,0,15.957
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
19.7,19.7,19.7,19.7,0,17.464000000000002
19.5,19.5,19.5,19.5,0,17.287
18.5,18.5,18.5,18.5,0,16.4
18.3,18.3,18.3,18.3,0,16.223
18.35,18.35,18.35,18.35,0,16.267
18.45,18.45,18.45,18.45,100,16.355999999999998
18.1,18.1,18.1,18.1,0,16.046
18.0,18.0,18.0,18.0,0,15.957
18.05,18.05,18.05,18.05,0,16.000999999999998
18.22,18.22,18.22,18.22,0,16.152
18.1,18.1,18.1,18.1,0,16.046
18.2,18.2,18.2,18.2,0,16.134
18.2,18.5,18.5,18.5,100,16.4
18.2,18.2,18.2,18.2,0,16.134
18.2,18.2,18.2,18.2,0,16.134
18.5,18.5,18.5,18.5,0,16.4
18.0,18.0,18.0,18.0,0,15.957
18.0,18.0,18.0,18.0,0,15.957
18.2,18.2,18.2,18.2,0,16.134
18.5,18.5,18.5,18.5,0,16.4
19.0,19.0,19.0,19.0,0,16.843
19.2,19.2,19.2,19.2,0,17.021
19.5,19.5,19.5,19.5,0,17.287
19.6,20.25,19.55,20.25,500,17.952
19.5,19.5,19.5,19.5,0,17.287
19.2,19.2,19.2,19.2,0,17.021
18.5,18.5,18.5,18.5,0,16.4
18.0,18.0,18.0,18.0,0,15.957
18.3,18.3,18.3,18.3,0,16.223
18.8,18.8,18.8,18.8,0,16.666
18.8,18.8,18.8,18.8,0,16.666
18.6,18.6,18.6,18.6,0,16.489
18.7,18.7,18.7,18.7,0,16.577
19.0,19.0,19.0,19.0,0,16.843
17.5,17.5,17.5,17.5,0,15.514000000000001
17.5,17.5,17.5,17.5,0,15.514000000000001
18.0,18.0,18.0,18.0,0,15.957
18.0,18.0,18.0,18.0,0,15.957
18.2,18.2,18.2,18.2,0,16.134
18.2,18.2,18.2,18.2,0,16.134
18.5,18.5,18.5,18.5,0,16.4
18.7,18.7,18.7,18.7,0,16.577
18.7,18.7,18.7,18.7,0,16.577
18.6,18.6,18.6,18.6,0,16.489
18.7,18.7,18.7,18.7,0,16.577
18.5,18.5,18.5,18.5,0,16.4
18.0,18.0,18.0,18.0,0,15.957
18.0,18.0,18.0,18.0,0,15.957
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.0,18.0,18.0,18.0,0,15.957
18.1,18.1,18.1,18.1,0,16.046
18.1,18.1,18.1,18.1,0,16.046
18.1,18.1,18.1,18.1,0,16.046
18.1,18.1,18.1,18.1,0,16.046
18.0,18.0,18.0,18.0,0,15.957
18.2,18.2,18.2,18.2,0,16.134
18.5,18.5,18.5,18.5,0,16.4
18.1,18.1,18.1,18.1,0,16.046
18.1,18.1,18.1,18.1,0,16.046
18.1,18.1,18.1,18.1,0,16.046
18.05,18.05,18.05,18.05,0,16.000999999999998
18.05,18.05,18.05,18.05,0,16.000999999999998
18.03,18.03,18.03,18.03,0,15.982999999999999
18.05,18.05,18.05,18.05,0,16.000999999999998
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.3,18.3,18.3,18.3,0,16.223
18.25,18.25,18.25,18.25,0,16.179000000000002
18.25,18.25,18.25,18.25,0,16.179000000000002
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
